Note_Type,left_fist_dist,left_fist_angle,right_fist_dist,right_fist_angle,left_arm_angle,right_arm_angle,nose_position,nose_above_shoulder
WEAVE_L,0.7065806817446895,311.45487730280405,0.6292231851977799,168.03621582813108,11.989986599950049,29.352519812069843,-0.008749872709584754,1
JAB_L,0.7065806817446895,311.45487730280405,0.6292231851977799,168.03621582813108,11.989986599950049,29.352519812069843,-0.008749872709584754,1
STRAIGHT_R,0.7065806817446895,311.45487730280405,0.6292231851977799,168.03621582813108,11.989986599950049,29.352519812069843,-0.008749872709584754,1
GUARD,0.6880326412159841,311.1767618697588,0.6237850651248719,168.08406136664863,9.529450426542736,29.586733691818974,-0.010229505021951203,1
WEAVE_R,0.6839874082897495,311.0333380908445,0.5527070053962708,157.58926492790792,7.761070873421768,35.01310467264578,-0.01236616633010764,1
JAB_L,0.4240788793801328,26.93507028264577,0.2612079985367969,167.74769133376742,53.72829629225692,0.15571664223472467,-0.05098405092246859,1
STRAIGHT_R,0.6164790165724082,50.79053901287073,0.7008408970578542,219.1341327781561,49.45628767284748,9.751571630836706,-0.23077295126329622,1
GUARD,0.8845215701249833,338.62926872081897,0.6101734337582178,230.72134046010572,17.86549748551238,4.419464010556528,-0.37829167354127435,1
WEAVE_L,0.7559850644006919,308.9838893716801,0.8062535071146696,97.67955589512793,18.228432848336517,147.7757161071141,-0.025403384385575312,1
JAB_L,0.764658360237052,78.33434812193863,0.6519957804426809,218.71659491720524,137.4077794610257,10.355354625128312,-0.09025859892096756,1
STRAIGHT_R,0.6393808634616533,320.2820746225098,0.9090630854118297,202.77450221556148,14.920829128072006,21.75235260885909,0.016948402753545602,1
GUARD,0.7641244636833381,303.54597772405776,0.693061712924379,151.2696881660157,30.16810513682824,27.518529262972084,0.30009545452905856,1
WEAVE_R,0.46962443454946223,2.25418964651874,0.4013790105896491,166.77803959965792,27.383673769373996,20.025805921381043,0.008456945429095412,1
JAB_L,0.5581051143822865,56.900730666337125,0.7210389610917675,216.1945497252845,101.77928919949301,13.003892285086026,-0.1113863639185172,1
STRAIGHT_R,0.910340081101614,314.5193601423759,0.540643589863553,171.74962873225823,24.411215156019974,17.983533899211473,0.0013504384241097493,1
GUARD,0.9539295020346805,342.1190363375659,0.49838164209453634,198.67256863594335,0.9748096189604776,33.59385895171849,-0.5128079297239303,1
WEAVE_L,0.6810819378122055,323.6470118275278,0.40615228074905924,128.85553811947491,18.822024515735205,64.43406409144056,-0.048717427063004755,1
